19-12-2025 11:14
Defaut effacé: ID=796, Date=22-12-2025, Heure=01:10, Unité=3, Code=231, État=3, Send=[25]
Defaut effacé: ID=797, Date=22-12-2025, Heure=01:10, Unité=4, Code=231, État=3, Send=[25]
Defaut effacé: ID=798, Date=22-12-2025, Heure=01:10, Unité=5, Code=231, État=3, Send=[25]
Defaut effacé: ID=799, Date=22-12-2025, Heure=01:10, Unité=7, Code=231, État=3, Send=[25]
Defaut effacé: ID=800, Date=22-12-2025, Heure=01:10, Unité=8, Code=231, État=3, Send=[25]
Defaut effacé: ID=801, Date=22-12-2025, Heure=01:10, Unité=9, Code=231, État=3, Send=[25]
Defaut effacé: ID=802, Date=22-12-2025, Heure=01:10, Unité=10, Code=231, État=3, Send=[25]
Defaut effacé: ID=803, Date=22-12-2025, Heure=01:10, Unité=11, Code=231, État=3, Send=[25]
Defaut effacé: ID=804, Date=22-12-2025, Heure=01:10, Unité=12, Code=231, État=3, Send=[25]
Defaut effacé: ID=805, Date=22-12-2025, Heure=01:10, Unité=13, Code=231, État=3, Send=[25]
Defaut effacé: ID=806, Date=22-12-2025, Heure=01:10, Unité=14, Code=231, État=3, Send=[25]
Defaut effacé: ID=807, Date=22-12-2025, Heure=01:10, Unité=15, Code=231, État=3, Send=[25]
Defaut effacé: ID=808, Date=22-12-2025, Heure=01:10, Unité=16, Code=231, État=3, Send=[25]
Defaut effacé: ID=809, Date=22-12-2025, Heure=01:10, Unité=17, Code=231, État=3, Send=[25]
Defaut effacé: ID=810, Date=22-12-2025, Heure=01:10, Unité=18, Code=231, État=3, Send=[25]
Defaut effacé: ID=811, Date=22-12-2025, Heure=01:10, Unité=19, Code=231, État=3, Send=[25]
Defaut effacé: ID=812, Date=22-12-2025, Heure=01:10, Unité=20, Code=231, État=3, Send=[25]
Defaut effacé: ID=813, Date=22-12-2025, Heure=01:10, Unité=21, Code=231, État=3, Send=[25]
Defaut effacé: ID=814, Date=22-12-2025, Heure=01:10, Unité=25, Code=231, État=3, Send=[25]
Defaut effacé: ID=815, Date=22-12-2025, Heure=01:10, Unité=26, Code=231, État=3, Send=[25]
23-12-2025 09:30
Defaut effacé: ID=816, Date=2025-12-23, Heure=08:51, Unité=501, Code=10080, État=3, Send=[25]
Defaut effacé: ID=817, Date=2025-12-23, Heure=08:51, Unité=502, Code=10080, État=3, Send=[25]
Defaut effacé: ID=818, Date=2025-12-23, Heure=08:51, Unité=503, Code=10080, État=3, Send=[25]
Defaut effacé: ID=819, Date=23-12-2025, Heure=09:19, Unité=1, Code=100066, État=3, Send=[25]
Defaut effacé: ID=820, Date=23-12-2025, Heure=09:19, Unité=2, Code=100066, État=3, Send=[25]
Defaut effacé: ID=821, Date=23-12-2025, Heure=09:19, Unité=3, Code=100066, État=3, Send=[25]
Defaut effacé: ID=822, Date=23-12-2025, Heure=09:19, Unité=4, Code=100066, État=3, Send=[25]
Defaut effacé: ID=823, Date=23-12-2025, Heure=09:19, Unité=5, Code=100066, État=3, Send=[25]
Defaut effacé: ID=824, Date=23-12-2025, Heure=09:19, Unité=6, Code=100066, État=3, Send=[25]
Defaut effacé: ID=825, Date=23-12-2025, Heure=09:19, Unité=7, Code=100066, État=3, Send=[25]
Defaut effacé: ID=826, Date=23-12-2025, Heure=09:19, Unité=8, Code=100066, État=3, Send=[25]
Defaut effacé: ID=827, Date=23-12-2025, Heure=09:19, Unité=9, Code=100066, État=3, Send=[25]
Defaut effacé: ID=828, Date=23-12-2025, Heure=09:19, Unité=10, Code=100066, État=3, Send=[25]
Defaut effacé: ID=829, Date=23-12-2025, Heure=09:19, Unité=11, Code=100066, État=3, Send=[25]
Defaut effacé: ID=830, Date=23-12-2025, Heure=09:19, Unité=12, Code=100066, État=3, Send=[25]
Defaut effacé: ID=831, Date=23-12-2025, Heure=09:19, Unité=13, Code=100066, État=3, Send=[25]
Defaut effacé: ID=832, Date=23-12-2025, Heure=09:19, Unité=14, Code=100066, État=3, Send=[25]
Defaut effacé: ID=833, Date=23-12-2025, Heure=09:19, Unité=15, Code=100066, État=3, Send=[25]
Defaut effacé: ID=834, Date=23-12-2025, Heure=09:19, Unité=16, Code=100066, État=3, Send=[25]
Defaut effacé: ID=835, Date=23-12-2025, Heure=09:19, Unité=17, Code=100066, État=3, Send=[25]
Defaut effacé: ID=836, Date=23-12-2025, Heure=09:19, Unité=18, Code=100066, État=3, Send=[25]
Defaut effacé: ID=837, Date=23-12-2025, Heure=09:19, Unité=19, Code=100066, État=3, Send=[25]
Defaut effacé: ID=838, Date=23-12-2025, Heure=09:19, Unité=20, Code=100066, État=3, Send=[25]
Defaut effacé: ID=839, Date=23-12-2025, Heure=09:19, Unité=21, Code=100066, État=3, Send=[25]
Defaut effacé: ID=840, Date=23-12-2025, Heure=09:19, Unité=22, Code=100066, État=3, Send=[25]
Defaut effacé: ID=841, Date=23-12-2025, Heure=09:19, Unité=23, Code=100066, État=3, Send=[25]
Defaut effacé: ID=842, Date=23-12-2025, Heure=09:19, Unité=24, Code=100066, État=3, Send=[25]
Defaut effacé: ID=843, Date=23-12-2025, Heure=09:19, Unité=25, Code=100066, État=3, Send=[25]
Defaut effacé: ID=844, Date=23-12-2025, Heure=09:19, Unité=26, Code=100066, État=3, Send=[25]
Defaut effacé: ID=845, Date=23-12-2025, Heure=09:28, Unité=1, Code=100088, État=3, Send=
